- pack 1 (17 levels)

-first face
40:aaaa.cbbc.aaaa.aaaa|b:111.121
40:cbbc.aaaa.dbda.aaaa|b:110.120,c:112
40:cbbb.dbdb.bbbb.caaa|b:110.120.130.131.102.112.122.132,c:111
40:edbb.bcad.bbac.ebbb,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa|b:112.113.123.133,c:120.130,d:101.102
40:bbfd.fecb.ebbb.cbbd,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa|b:122.123.113,c:131.132,d:112,e:110.100
40:bbbb.baaa.baaa.daaa,bbbb.aaab.aaab.aaac,bbca.aaad.aaab.aaab|b:232.231.230.220.210.200.300.310,c:102.101.100.110.120.130.333.332
40:bbbb.aaab.bbcb.bbbb,bbbb.baaa.bcbb.dadb|b:102.112.222.232,c:100.110.120.130.131.132.103.113.123.133.200.210.220.230.201.202.233
40:aebb.bbdb.bebb.aaaa,aaaa.bbcb.bdbb.bbca|b:201.211.202.203.213,c:101.111.231.222.232,d:120.130.131.122.132
40:bbea.abba.abba.dbbe,cdab.bbab.bbbb.bbca,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa|b:201.202.203.213,c:113.112.111.110.100.230.231.232.222.212.211,d:121.122.123
40:bbbe.bacb.beab.abbb,abbb.abad.bbab.dcbb,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa|b:120.110.100.101.102.232.233.223,c:230.220.210.211.212.202,d:131.132.133.123.113
40:bbbc.bbbb.bbdb.bbeb,debb.bbbc.bbbb.bbbb|b:100.110.120.230,c:112.103.113.201.202.203.213.223.233,d:101.111.121.131.102.132.133.211.212.222.232
40:dbbb.bfeb.bebb.bbbb,bbbc.bfbb.bdbb.bbbc|b:200.210.220.201.202.203.213.223,c:110.120.130.131.102.132.103.113.123.133.222.232,d:122,e:101.221.231
40:bbbb.abbb.aedb.bcac,bbbb.bbba.bdea.bbbb,bbbb.baab.baab.bbbb|b:130.131.132.103.200.201.202.203.213.223.233.300.310.320.330.331.332.333,c:120.121.210.211.301.302.303.313.323,d:100.110.111.220.230.221
40:bbbe.bcfb.debb.bbbc,fbbb.bbbb.bdbb.bbbb,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa|b:101.103.113.123.201.211.221.231.202.203.213.223.233,c:222.232,d:131.122.132,e:100.110.120.210.220.230

- second face of levels

40:bbbb.bedb.bbbb.bbbb,aaaa.aaaa.aabb.aaba,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,eabb.bcdc.aaaa.aaaa|b:601.223.222.232.102.101.100.110.120.130.131.132.133.630,c:122.123.620,d:112.113.103
40:ebbb.fbbb.babd.bfbb,aaab.aaab.aaab.aaae,aaaa.aaaa.caac.bbdb,baaa.baaa.baaa.baaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa|b:303.313.110.111.121.122.123.133.403.402.401.400.333,c:131.130.120,d:230.231.232,e:102.103
40:bbbb.bbbf.ebbb.bbfe,bbbb.bbbb.bdbb.bbbb,bbbc.baaa.baac.bbdb|b:100.110.120.130.200.220.230.201.221.202.222.203.213.223.300.310.320.333,c:210.211.301.302.303.313,d:112.122.132,e:101.111.121.103.113.231.232.233
40:aaaa.aaaa.aaaa.aaaa,aafc.bbbb.faab.bbbb,aaaa.aaaa.aaaa.aaaa,cebd.bbba.bbbd.bbbe,aaaa.aaaa.aaaa.aaaa,ghbb.babb.bghb.bbbb|b:231.232.233.223.213.203.603.613.623.633.632.631.630.403.402.401,c:420.421.422,d:411.412.413.423,e:221.211.201,f:601.602,g:620.621

50:dbbbc.bbebb.bbbbb.bbdbb.cbbbe,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa|b:130.120.110.111.112.122.132.133.134.124.114,c:101.102.103.113,d:131.141.142.143
50:bbgde.bbibb.bbbbb.febbb.bbbbb,bhbbb.bbbib.bbcbb.bbbbb.bbbhg,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,bbbbb.bbbbb.bbcbb.bbdbb.fbbbb,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa|b:232.242.102.112.122.132.142.402.412,c:131.141.401.411.421.431.432.433,d:400.410.420.430.440.441.442.443.444.434.424.414.413.403.143.133.123,e:104.114.124.134.144,f:110.100.240.230.220.221.211.212.213.223.233.243,g:200.201.202.203.204.214.224,h:111.101.241
50:bbebb.bbbbb.bbbbb.bbbbb.agbbb,aacda.aabba.aabbb.aabbb.aabbf,aaaaa.aabaa.aabaa.aaaaa.dbbbh,ahaaa.abaaa.bbaaa.bbaaa.bbaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,abfbb.gbbbb.bbbec.aaaaa.aaaaa|b:221.222.223.233.243.103.113.112.111.110.314.324.334.130.131.132.133.143.403.413.414.641,c:231.232.242.102.101.100,d:121.122.123.124.134.630.631,e:234.224.602.612.622.621,f:610.611,g:140.141.142.402.412.411
50:baiab.babeb.babfb.abbbh.ebfba,bbbjg.abjbb.abcbb.dbbgb.aabbb,bbbca.daaaa.baaaa.baaah.bibab,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa|b:212.211.210.200.300.310.320,c:213.223.224.234.244.243.242.102.101.100.304.303.302,d:121.122.123.113.114,e:133.134,f:241.231.232,g:142.141.140.344,h:324,i:220

- pack c (c levels)
41:baaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa
41:bbbb.bbbb.bbbb.bbbb,bbbb.bbbb.bbbb.bbbb

- pack d (this is where I am putting all the levels Im working on)
- this is the current editor the current editor

-62:bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb,bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb,bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb,bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb,bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb,bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb.bbbbbb
-52:bbbbb.bbbbb.bbbbb.bbbbb.bbbbb,bbbbb.bbbbb.bbbbb.bbbbb.bbbbb,bbbbb.bbbbb.bbbbb.bbbbb.bbbbb,bbbbb.bbbbb.bbbbb.bbbbb.bbbbb,bbbbb.bbbbb.bbbbb.bbbbb.bbbbb,bbbbb.bbbbb.bbbbb.bbbbb.bbbbb
42:bbbb.bbbb.bbbb.bbbb,bbbb.bbbb.bbbb.bbbb,bbbb.baab.baab.bbbb,bbbb.bbbb.bbbb.bbbb,bbbb.bbbb.bbbb.bbbb,bbbb.bbbb.bbbb.bbbb

52:bbebb.bbbbb.bbbbb.bbbbb.agbbb,aacda.aabba.aabbb.aabbb.aabbf,aaaaa.aabaa.aabaa.aaaaa.dbbbh,ahaaa.abaaa.bbaaa.bbaaa.bbaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,abfbb.gbbbb.bbbec.aaaaa.aaaaa
52:bbbbh.bbbbb.hbbbb.gbbbb.cbbfa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aabaa.aabaa.aaaaa.aaaaa,cbbbd.bbgbb.bbbbb.bbbbb.fdebe,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa
52:abhbb.abbbb.abbdb.abbbb.hbcbb,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaac.aaaab.aabab.aaaab.fbbbg,bbbeb.bgbdb.bfbbb.bbbbb.bbbbe,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa
52:dbbbc.bbebb.bbbbb.bbdbb.cbbbe,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa
52:bbbbc.bbbbd.bbabb.beaeb.cdbbb,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aabaa.aabaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa,aaaaa.aaaaa.aaaaa.aaaaa.aaaaa
42:bbbb.baab.baab.baad,baac.baab.baab.bbbb,aaaa.aaaa.aaaa.aaaa,cbbb.eaaf.baab.bfbb,bbbb.bbbd.babb.baeb,baab.baab.baab.baab
42:aaaa.aaaa.aaaa.aaaa,aafc.bbbb.faab.bbbb,aaaa.aaaa.aaaa.aaaa,cebd.bbba.bbbd.bbbe,aaaa.aaaa.aaaa.aaaa,ghbb.babb.bghb.bbbb
42:bbbb.beab.bbbb.baed,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,fbfc.bbbb.bgbb.bbhb,bbdc.bbgb.bhbb.babb
42:caac.bbeb.bbgb.bbbb,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,bbbb.bbdb.bbeb.bbbb,bbbb.bbbb.bbgb.bbdb
42:aaab.aaab.aaab.aaah,bbbe.bcbc.bbbe.bbbd,aaaa.aaaa.aaaa.aaaa,hbbf.bbbg.bgba.bbbf,aaad.aaab.aaab.aaab,aaaa.aaaa.aaaa.aaaa
42:bbbb.bbbb.bbgb.ghbb,aabb.bbbb.bcbb.aadb,bcdb.baab.baab.ebbe,bbaa.bbbb.bbbb.bfaa,aaaa.bbbb.bbbb.aaaa,babb.faah.aaaa.aaaa
42:gbbg.bbbf.bbbb.ebeb,aaab.aaab.aaab.aaab,aaaa.aaaa.aaaa.bbfc,baaa.baaa.baaa.daaa,aaaa.aaaa.aaaa.aaaa,cdbb.aaaa.aaaa.aaaa
42:cbbb.bbbb.bebb.dbbe,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.bbbb.bbbb.aaaa,bcbf.bfbg.bgbb.bbbd,aaaa.aaaa.aaaa.aaaa
42:aaaa.abfe.abbb.abba,acfa.abba.abba.abba,aaaa.aaaa.aaaa.aaaa,adba.aeba.abba.abba,aaaa.aaaa.dbbc.abba,bbbb.baab.baab.bbbb
42:aaaa.aaaa.aaaa.aaaa,bbbb.bbfb.bbbb.befe,bahb.baab.baab.bdcb,gbdb.abbb.abbb.gbbb,ibbb.bbih.bbbc.bbbb,aaaa.aaaa.aaaa.aaaa
42:abbh.abaa.bhbb.bbba,bbdb.bbbb.bbbb.bbbg,beda.baaa.eaaa.bbca,aaaa.aaaf.faab.aaaa,cbbb.bbbb.bbbb.gbbb,aaaa.aaaa.aaaa.aaaa
42:aaaa.aaaa.bbda.bbbb,aaaa.aaaa.acbb.abbe,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.adbb.agbg,aaaa.aaaa.bbca.ebba,fbfb.bbab.bbbb.bbbb
42:bbbb.bbbb.aaab.aaah,bbbe.bbbb.bbaa.bbbd,baab.baab.baab.baab,bbbb.bgab.bbab.fbgf,bbdc.bbeb.bbhb.cbbb,aaaa.aaaa.aaaa.aaaa
42:gbbd.bbbb.gfeb.dbbb,aabb.aabb.aabb.aabf,aaaa.aaaa.caac.bbbb,bbaa.bbaa.bbaa.bbaa,aaaa.aaaa.aaaa.aaaa,ebbb.bbbb.aaaa.aaaa
42:bbbb.babd.babb.bbbb,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,bbbb.ebed.bbbc.bbbf,aaaa.aaaa.aaaa.aaaa,bbhg.bbbb.bbhg.cbfa
42:aaaa.gced.bbbb.bbbb,aaaa.aaaf.aaab.aabb,aaaa.aaaa.aaaa.aaaa,aaaa.bbaa.edaa.bcaa,aaaa.aaaa.aaaa.aaaa,bbbb.bbfg.aaaa.aaaa
42:bbbc.bfbb.bbbb.egbb,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,bbbb.bedb.bbbb.gfdc,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa
42:aaad.faag.daab.caac,fbbb.bbeb.bbbb.bbbb,aaaa.aaaa.aaaa.aaaa,bbbb.aaaa.bbbb.bbbb,bebb.bbbb.bgbb.bbbb,aaaa.aaaa.aaaa.aaaa
42:bbbb.fbhb.bbah.dbbb,fbbb.gbbg.bbbb.caaa,aaaa.aaaa.aaaa.aaaa,bbbc.bbbb.bbed.beaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa
42:bbbb.ebbb.bbac.dcbb,aaaa.aaaa.aaaa.aaaa,faad.baab.baab.bfeb,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa
42:bhaa.baaa.baaa.aaaa,bedb.bbbb.bbfb.gbgb,bbaa.baaa.baaa.bcaa,aaaa.aaaa.aaaa.aaaa,aade.aabb.aabb.aabb,bbaa.fbaa.bhaa.bcaa
42:aaaa.aaaa.aaaa.aaaa,bbdc.bbbb.bbae.dbbb,aaaa.aaaa.aaaa.aaaa,aafc.bbbb.bbeb.fbbb,aaaa.aaaa.aaaa.aaaa,aaaa.bbbb.bbbb.aaaa
42:aaaa.aaaa.bbfg.dbbb,aaaa.aaaa.cbbb.bbbe,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaab.bbbb,aaaa.aaaa.bbbg.bbbf,bbbb.bcdb.bbbb.bbeb
42:gbbb.bfbe.bbbb.gbbf,aaab.aaab.aaab.aaad,bbbb.baab.caac.bbeb,aaaa.aaaa.baaa.daaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa
42:ebbb.fbbb.babd.bfbb,aaab.aaab.aaab.aaae,aaaa.aaaa.caac.bbdb,baaa.baaa.baaa.baaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa
42:bbbb.bbbb.bdae.cebb,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,bbaa.bbaa.bbaa.dcaa
42:bbbb.bedb.bbbb.bbbb,aaaa.aaaa.aabb.aaba,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,eabb.bcdc.aaaa.aaaa
42:bbba.fbda.cbba.bafa,bbbb.babb.bcbd.ebbe,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,aaaa.aaaa.aaaa.aaaa,baaa.baaa.baaa.baaa
